timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
09/02/2017 02:19,192.168.247.1,udp,137,,netbios,2C-44-FD-96-91-B4,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,KEPLER,BEC1055,0,0,Information Technology
09/02/2017 01:13,192.168.247.6,udp,137,,netbios,AC-16-2D-70-B3-78,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,GALILEO,BEC1056,0,0,Information Technology
09/02/2017 02:13,192.168.247.13,udp,137,,netbios,FC-AA-14-25-B8-8D,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1057,0,0,Information Technology
09/02/2017 01:22,192.168.247.14,udp,137,,netbios,FC-AA-14-2E-45-FB,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1058,0,0,Information Technology
09/02/2017 01:52,192.168.247.16,udp,137,,netbios,FC-AA-14-72-34-88,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1059,0,0,Information Technology
09/02/2017 01:30,192.168.247.33,udp,137,,netbios,A4-1F-72-87-C0-84,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,PUBLICIDAD-PC,BEC1060,0,0,Information Technology
09/02/2017 03:39,192.168.247.61,udp,137,,netbios,00-1D-92-71-75-C5,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,FOTOGRAFIA3,BEC1061,0,0,Information Technology
09/02/2017 01:17,192.168.247.66,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,MACPRO-BF3D20,BEC1062,0,0,Information Technology
09/02/2017 02:42,192.168.247.114,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPI522703,BEC1063,0,0,Information Technology
09/02/2017 03:28,192.168.247.137,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPIE70478,BEC1064,0,0,Information Technology
09/02/2017 01:49,192.168.248.32,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPI0C3E16,BEC1065,0,0,Information Technology
09/02/2017 01:22,192.168.248.36,udp,137,,netbios,D0-BF-9C-45-E3-84,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,SPCOSJ,BEC1066,0,0,Information Technology
09/02/2017 01:20,192.168.248.38,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,NPI2E7606,BEC1067,0,0,Information Technology
09/02/2017 01:35,192.168.248.64,udp,137,,netbios,00-1E-8F-D8-BB-85,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,CANOND8BB85,BEC1068,0,0,Information Technology
09/02/2017 02:22,192.168.248.67,udp,137,,netbios,C0-4A-00-01-94-4F,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,CCTVUNAM,BEC1069,0,0,Information Technology
09/02/2017 03:04,192.168.248.73,udp,1022,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,HP494F16,BEC1070,0,0,Information Technology
09/02/2017 02:17,192.168.248.74,udp,137,,netbios,,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1071,0,0,Information Technology
09/02/2017 03:32,192.168.248.243,udp,137,,netbios,00-0C-29-D7-F2-D6,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,,BEC1072,0,0,Information Technology
09/02/2017 02:46,192.168.249.12,udp,137,,netbios,00-00-00-00-00-00,278,MX,DISTRITO FEDERAL,MEXICO CITY,WORKGROUP,XRX0000AA7BEE4A,BEC1073,0,0,Information Technology
